edad,codigopostal,tipovivienda,dependientes,estadocivil,genero,claveactividad,nivelacademico,telefono,ingreso,egreso,tipoprestamo,tasanormal,tasamoratoria,monto,avales,creditostrabajados,bien,montogarantia,finalidad,remesas,plazo,estatuscuenta
87,70735,2,2,2,2,9999999,6,1,0,0,1,48,48,5000,1,6,1,0,2,1,5,3
68,70760,2,0,2,2,111063,6,1,0,0,4,24,24,3500,0,23,1,0,2,1,6,3
65,70725,2,1,2,2,9999999,4,1,9,0,4,24,24,3000,0,16,1,0,2,1,5,3
70,70725,2,2,2,2,9999999,4,1,0,0,1,48,48,5000,1,2,1,0,2,1,9,3
75,70760,2,0,3,1,9999999,4,1,2,0,4,24,24,3000,0,19,1,0,2,1,5,3
67,70735,2,1,2,2,9999999,6,1,2,0,1,48,48,19000,1,11,1,0,2,1,6,3
62,70735,2,2,2,1,232017,4,1,5,2,4,24,24,3000,0,12,1,0,2,1,5,3
62,70725,2,1,2,2,219908,6,1,9,6,2,42,42,25000,1,17,1,0,2,1,11,3
62,70725,2,1,2,2,9411998,4,1,1,1,6,24,24,50000,0,16,1,6,2,1,6,3
70,70760,2,0,2,1,6999900,4,1,9,0,4,24,24,4500,0,10,1,0,2,1,5,3
64,70735,2,0,5,1,219908,4,1,4,0,6,24,24,18000,1,16,1,0,2,1,5,3
65,70725,2,2,2,1,9999999,4,1,1,0,1,48,48,4000,1,3,1,0,2,1,8,3
71,70735,2,2,2,2,9999999,4,1,3,0,4,24,24,3000,0,20,1,0,2,1,5,3
68,70705,2,1,4,2,149907,6,1,0,0,6,24,24,22000,1,19,1,0,2,1,7,3
64,70725,2,1,2,2,149907,6,1,9,0,4,24,24,4000,0,20,1,0,2,1,5,3
72,70735,2,1,2,2,9999999,6,1,2,1,4,24,24,3000,0,23,1,0,2,1,5,3
65,70735,2,0,2,1,3331022,4,1,3,2,3,18,18,3000,0,17,5,1,2,1,5,3
87,70725,2,1,2,2,219908,6,1,9,0,6,24,24,10000,1,22,1,0,2,1,5,3
69,70725,2,1,2,2,100008,6,1,0,0,4,24,24,4000,0,23,1,0,2,1,5,3
65,70760,2,1,2,1,9999999,6,1,1,0,4,24,24,4000,0,11,1,0,2,1,5,3
68,70760,2,2,2,2,9999999,6,1,1,0,4,24,24,5000,0,23,1,0,2,1,5,3
62,70725,2,1,2,2,6999900,6,1,1,1,4,24,24,2000,0,11,1,0,2,1,5,3
65,70298,2,2,2,2,100008,6,1,0,0,4,24,24,3600,0,22,1,0,2,1,5,3
71,70735,2,0,3,2,219908,6,1,9,1,1,48,48,10000,0,12,1,0,2,1,5,3
67,70735,2,3,2,2,219908,6,1,5,2,4,24,24,3000,0,18,1,0,2,1,5,3
67,70705,2,4,4,2,149907,6,1,9,0,1,48,48,5000,1,5,1,0,2,1,7,3
66,70725,2,1,2,2,211011,4,1,3,1,6,24,24,26000,0,23,1,0,2,1,5,3
65,70735,2,1,2,2,2711019,6,1,2,3,6,24,24,30000,1,20,1,0,2,1,6,3
87,70725,2,1,2,2,219908,6,1,9,0,6,24,24,20000,1,22,1,0,2,1,5,3
65,70735,2,0,2,1,3331022,4,1,3,2,3,18,18,10000,0,17,5,1,2,1,3,3
74,70725,2,4,2,2,9999999,6,1,0,0,4,24,24,3000,0,10,1,0,2,1,5,3
62,70760,2,4,2,2,9999999,4,1,0,0,4,24,24,5000,0,4,1,0,2,1,5,3
72,70760,2,1,2,2,142084,6,1,0,0,4,24,24,3500,0,9,1,0,2,1,5,3
74,70735,2,0,3,2,6999900,6,1,0,0,4,24,24,3000,0,23,1,0,2,2,4,3
68,70760,2,0,2,2,111063,6,1,0,0,4,24,24,5000,0,23,1,0,2,1,5,3
65,70735,2,1,2,2,219908,6,1,6,2,6,24,24,5000,0,17,1,0,2,1,5,3
75,70725,2,1,2,2,9999999,4,1,5,0,4,24,24,4000,0,18,1,0,2,1,5,3
62,70705,2,1,2,2,9999999,6,1,0,0,4,24,24,3000,0,10,1,0,2,1,5,3
65,70725,2,1,2,2,9999999,4,1,9,0,4,24,24,3000,0,16,1,0,2,1,5,3
76,70725,2,1,4,2,9999999,6,1,0,0,3,18,18,6000,0,19,5,1,2,1,2,3
66,70735,2,0,5,1,6999900,4,1,0,0,6,24,24,4000,1,20,1,0,2,1,5,3
87,70735,2,2,2,2,9999999,6,1,0,0,1,48,48,5000,1,6,1,0,2,1,2,3
61,70725,2,1,2,2,9999999,6,1,1,0,1,48,48,8000,1,1,1,0,2,1,11,3
62,70725,2,1,2,2,9411998,4,1,1,1,1,48,48,10000,1,16,1,0,2,1,5,3
76,70735,2,1,2,2,219908,6,1,9,0,2,42,42,12000,1,13,1,0,2,1,11,3
70,70760,2,0,2,1,6999900,4,1,9,0,4,24,24,5000,0,10,1,0,2,1,5,3
79,70735,2,1,2,2,219908,6,1,5,0,1,48,48,3000,1,5,1,0,2,1,2,3
64,70725,2,1,2,2,149907,6,1,9,0,4,24,24,4000,0,20,1,0,2,1,6,3
72,70735,2,1,2,2,9999999,6,1,2,1,4,24,24,3000,0,23,1,0,2,1,5,3
71,70735,2,0,3,2,219908,6,1,9,1,1,48,48,10000,1,12,1,0,2,1,5,3
62,70735,2,2,2,2,219908,6,1,9,0,6,24,24,42000,1,17,1,0,2,1,6,3
64,70720,2,1,2,2,219908,6,1,5,7,1,48,48,10000,0,7,1,0,2,1,5,3
75,70725,2,1,2,2,9999999,4,1,5,0,2,42,42,15000,1,18,1,0,2,1,11,3
61,70735,2,3,2,2,9999999,6,1,0,0,2,42,42,8000,0,7,1,0,2,1,8,3
87,70735,2,1,2,2,219908,4,1,5,0,6,24,24,20000,1,22,1,0,2,1,11,3
67,70725,2,1,2,2,6999900,6,1,9,0,1,48,48,7000,0,9,1,0,2,1,8,3
65,70725,2,2,2,1,9999999,4,1,1,0,1,48,48,5000,0,3,1,0,2,1,10,3
68,70760,2,2,2,2,9999999,6,1,1,0,4,24,24,5000,0,23,1,0,2,1,5,3
83,70725,2,1,5,1,9999999,4,1,9,0,4,24,24,3000,0,4,1,0,2,1,5,3
66,70760,2,1,2,2,9999999,4,1,0,0,1,48,48,20000,1,4,1,0,2,1,11,3
61,70735,2,2,2,2,9999999,6,1,0,0,1,48,48,40000,1,4,1,1,2,1,11,3
67,70735,2,3,2,2,219908,6,1,5,2,4,24,24,3500,0,18,1,0,2,1,5,3
65,70298,2,2,2,2,100008,6,1,0,0,4,24,24,3600,0,22,1,0,2,1,5,3
